1		3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	
				Deklarationen SPS	1114																																								
Version	c	AG	Gewerk	Symbol	Typ	Objekt/Bereich	Kommentar	Zusatzkommentar	dez. Peripherie	Peripherie/Quelle	Konditionierung	Signalart	Priorität	Startwert	Bereich min	Bereich max	Einheit	DB	DBB	DBX	ParseCode	Objekt	Objektdeklaration	Symbolkommentar	Symbol	Datentyp	Gruppe	Adresse	ALG Meldenummer	ALG Variable	ALG BitNr	ALG Meldeklasse	ALG Meldeart	ALG Meldegruppe	ALG Meldetext	ALG Störort	ALG MSR	ALG Zusatztext	ALG Prozesswert	ALG Einzelquit	ALG Group Name	ALG Group VarState	ALG Group VarQuit	ALG Group Dekl	Bemerkung
1		ZEN	Ablauf	E_Ablauf_O2_St	BOOL	Ablauf - O2-Gehalt	Störung			E 1.2		M	S2					DB100	1	2		Ablauf_O2	KAO_Ablauf_O2	10010						KAO_ZEN_DB100_DBB1	2	Störung	Fehler	KAO_Ablauf_O2_ALG_GRP	Ablauf - O2-Gehalt - Störung	Ablauf	Ablauf_O2	E 1.2	33608			KAO_Ablauf_O2_ALG_GRP_S	KAO_Ablauf_O2_ALG_GRP_Q	x	
1		ZEN	Ablauf	E_Ablauf_DF_ZI	BOOL	Ablauf - Durchfluss	Impuls			E 1.3		M	B					DB100	1	3	NM	Ablauf_DF	KAO_Ablauf_DF																						
1		ZEN	Ablauf	E_Ablauf_DF_St	BOOL	Ablauf - Durchfluss	Störung			E 1.4		M	S2					DB100	1	4		Ablauf_DF	KAO_Ablauf_DF	10012						KAO_ZEN_DB100_DBB1	4	Störung	Fehler	KAO_Ablauf_DF_ALG_GRP	Ablauf - Durchfluss - Störung	Ablauf	Ablauf_DF	E 1.4	33613			KAO_Ablauf_DF_ALG_GRP_S	KAO_Ablauf_DF_ALG_GRP_Q	x	
1		ZEN	Belebung	E_BB_UeSS_DF_ZI	BOOL	Becken 1+2 - Ablauf ÜSS - Durchfluss	Impuls			E 1.5		M	B					DB100	1	5	NM	BB_UeSS_DF	KAO_BB_UeSS_DF																						
1		ZEN	Zulauf	E_Zulauf_DF_ZI	BOOL	Zulauf - Rechen - Durchfluss	Impuls			E 1.6		M	R					DB100	1	6			10014							KAO_ZEN_DB100_DBB1	6	Information	Reserve	48326		Zulauf	ZEN	E 1.6							
1		ZEN		E_ZEN_Res_1_7	BOOL		Reserve			E 1.7		M	R					DB100	1	7			10015							KAO_ZEN_DB100_DBB1	7	Information	Reserve	15		32219		E 1.7							
1		ZEN	NSHV	E_NSHV_SS1_St	BOOL	NSHV Steuerspannungsüberwachung 1	Störung			E 2.0	i	M	S2					DB100	2	0		NSHV	KAO_NSHV	32914		Vorzeichenloser 8-Bit Wert	ZEN_Meldungen	DB100,DBB2	10016	KAO_ZEN_DB100_DBB2	0	Störung	Fehler	KAO_NSHV_ALG_GRP	NSHV Steuerspannungsüberwachung 1 - Störung	NSHV	NSHV	E 2.0	32941			KAO_NSHV_ALG_GRP_S	KAO_NSHV_ALG_GRP_Q	x	
1		ZEN	NSHV	E_NSHV_SS2_St	BOOL	NSHV Steuerspannungsüberwachung 2	Störung			E 2.1	i	M	S2					DB100	2	1		NSHV	KAO_NSHV	10017						KAO_ZEN_DB100_DBB2	1	Störung	Fehler	KAO_NSHV_ALG_GRP	NSHV Steuerspannungsüberwachung 2 - Störung	NSHV	NSHV	E 2.1	32941			KAO_NSHV_ALG_GRP_S	KAO_NSHV_ALG_GRP_Q		
1		ZEN	NSHV	E_NSHV_N02_AF_St	BOOL	NSHV Sicherungsüberwachung Feld N02	Störung			E 2.2	i	M	S2					DB100	2	2		NSHV	KAO_NSHV	10018						KAO_ZEN_DB100_DBB2	2	Störung	Fehler	KAO_NSHV_ALG_GRP	NSHV Sicherungsüberwachung Feld N02 - Störung	NSHV	NSHV	E 2.2	32941			KAO_NSHV_ALG_GRP_S	KAO_NSHV_ALG_GRP_Q		
1		ZEN	NSHV	E_NSHV_N03_AF_St	BOOL	NSHV Sicherungsüberwachung Feld N03	Störung			E 2.3	i	M	S2					DB100	2	3		NSHV	KAO_NSHV	10019						KAO_ZEN_DB100_DBB2	3	Störung	Fehler	KAO_NSHV_ALG_GRP	NSHV Sicherungsüberwachung Feld N03 - Störung	NSHV	NSHV	E 2.3	32941			KAO_NSHV_ALG_GRP_S	KAO_NSHV_ALG_GRP_Q		
1		ZEN	NSHV	E_NSHV_N04_AF_St	BOOL	NSHV Sicherungsüberwachung Feld N04	Störung			E 2.4	i	M	S2					DB100	2	4		NSHV	KAO_NSHV	10020						KAO_ZEN_DB100_DBB2	4	Störung	Fehler	KAO_NSHV_ALG_GRP	NSHV Sicherungsüberwachung Feld N04 - Störung	NSHV	NSHV	E 2.4	32941			KAO_NSHV_ALG_GRP_S	KAO_NSHV_ALG_GRP_Q		
1		ZEN	NSHV	E_NSHV_LS_Ein	BOOL	NSHV Netzleistungsschalter	Aus			E 2.5		M	S2					DB100	2	5		NSHV	KAO_NSHV	10021						KAO_ZEN_DB100_DBB2	5	Störung	Fehler	KAO_NSHV_ALG_GRP	NSHV Netzleistungsschalter - Aus	NSHV	NSHV	E 2.5	32941			KAO_NSHV_ALG_GRP_S	KAO_NSHV_ALG_GRP_Q		
1		ZEN	NSHV	E_NSHV_LS_St	BOOL	NSHV Netzleistungsschalter	ausgelöst			E 2.6	i	M	S1					DB100	2	6		NSHV	KAO_NSHV	10022						KAO_ZEN_DB100_DBB2	6	Störung	Fehler	KAO_NSHV_ALG_GRP	NSHV Netzleistungsschalter - ausgelöst	NSHV	NSHV	E 2.6	1		KAO_NSHV_ALG_GRP	KAO_NSHV_ALG_GRP_S	KAO_NSHV_ALG_GRP_Q		
1		ZEN	NSHV	E_NSHV_NA	BOOL	NSHV Netzspannungsüberwachung	ausgelöst			E 2.7	i	M	S1					DB100	2	7		NSHV	KAO_NSHV	10023						KAO_ZEN_DB100_DBB2	7	Störung	Fehler	KAO_NSHV_ALG_GRP	NSHV Netzspannungsüberwachung - ausgelöst	NSHV	NSHV	E 2.7	1		KAO_NSHV_ALG_GRP	KAO_NSHV_ALG_GRP_S	KAO_NSHV_ALG_GRP_Q		
10.11.2025		ZEN	Umwelt	E_Umwelt_RM_Imp	BOOL	Wetterstation - Regenmenge	Impuls			E 3.0		M	B					DB100	3	0			32916			Vorzeichenloser 8-Bit Wert	ZEN_Meldungen	DB100,DBB3	10024	KAO_ZEN_DB100_DBB3	0	Information	Betrieb	51650		Umwelt	ZEN	E 3.0							
1		ZEN		E_ZEN_Res_3_1	BOOL		Reserve			E 3.1		M	R					DB100	3	1			10025							KAO_ZEN_DB100_DBB3	1	Information	Reserve	15		32219		E 3.1							
1		ZEN		E_ZEN_Res_3_2	BOOL		Reserve			E 3.2		M	R					DB100	3	2			10026							KAO_ZEN_DB100_DBB3	2	Information	Reserve	15		32219		E 3.2							
1		ZEN		E_ZEN_Res_3_3	BOOL		Reserve			E 3.3		M	R					DB100	3	3			10027							KAO_ZEN_DB100_DBB3	3	Information	Reserve	15		32219		E 3.3							
1		ZEN		E_ZEN_Res_3_4	BOOL		Reserve			E 3.4		M	R					DB100	3	4			10028							KAO_ZEN_DB100_DBB3	4	Information	Reserve	15		32219		E 3.4							
1		ZEN		E_ZEN_Res_3_5	BOOL		Reserve			E 3.5		M	R					DB100	3	5			10029							KAO_ZEN_DB100_DBB3	5	Information	Reserve	15		32219		E 3.5							
1		ZEN		E_ZEN_Res_3_6	BOOL		Reserve			E 3.6		M	R					DB100	3	6			10030							KAO_ZEN_DB100_DBB3	6	Information	Reserve	15		32219		E 3.6							
1		ZEN		E_ZEN_Res_3_7	BOOL		Reserve			E 3.7		M	R					DB100	3	7			10031							KAO_ZEN_DB100_DBB3	7	Information	Reserve	15		32219		E 3.7							
1		ZEN	Zulauf	EW_Zulauf_AR_Niv	WORD	Zulauf - Pumpwerk "Alter Rechen" - Niveau	Messwert von analoger Peripherie			EW 256		RWi						DB112	0	0		Zulauf_AR_Niv																							
1		ZEN	Zulauf	EW_Zulauf_AR_Temp	WORD	Zulauf - Pumpwerk "Alter Rechen" - Temperatur	Messwert von analoger Peripherie			EW 258		RWi						DB112	2	0		Zulauf_AR_Temp																							
1		ZEN	Zulauf	EW_Zulauf_AR_DF	WORD	Zulauf - Pumpwerk "Alter Rechen" - Durchfluss	Messwert von analoger Peripherie			EW 260		RWi						DB112	4	0		Zulauf_AR_DF																							
1		ZEN	Ablauf	EW_Ablauf_DF	WORD	Ablauf - Durchfluss	Messwert von analoger Peripherie			EW 262		RWi						DB112	6	0		Ablauf_DF																							
